"tick";"NormativeNetworkCardinality";"NormativeSystemMinimality";"NormativeSystemFitoussiMinimality";"AvgNonRegulatedCollisions"
1;506.0;60;8;21;0.5
1;507.0;60;8;22;0.5
1;508.0;60;8;22;0.5
1;509.0;60;8;22;0.5
1;510.0;60;8;22;0.5
1;511.0;60;8;22;0.5
1;512.0;60;7;22;0.3
1;513.0;60;7;21;0.2
1;514.0;60;7;21;0.2
1;515.0;60;7;21;0.2
1;516.0;60;7;21;0.0
1;517.0;60;7;21;0.0
1;518.0;60;7;21;0.0
1;519.0;60;7;21;0.0
1;520.0;60;7;21;0.0
1;521.0;60;7;21;0.0
1;522.0;60;7;21;0.0
1;523.0;60;7;21;0.0
1;524.0;60;7;21;0.0
1;525.0;60;7;21;0.0
1;526.0;60;7;21;0.0
1;527.0;60;7;21;0.0
1;528.0;60;7;21;0.0
1;529.0;60;7;21;0.0
1;530.0;60;7;21;0.0
1;531.0;60;7;21;0.0
1;532.0;60;7;21;0.0
1;533.0;60;7;21;0.0
1;534.0;60;7;21;0.0
1;535.0;60;7;21;0.0
1;536.0;60;7;21;0.0
1;537.0;60;7;21;0.0
1;538.0;60;7;21;0.0
1;539.0;60;7;21;0.0
1;540.0;60;6;21;0.0
1;541.0;60;6;20;0.0
1;542.0;60;6;20;0.0
1;543.0;60;6;20;0.0
1;544.0;60;6;20;0.0
1;545.0;60;6;20;0.0
1;546.0;60;6;20;0.0
1;547.0;60;6;20;0.0
1;548.0;60;6;20;0.0
1;549.0;60;6;20;0.0
1;550.0;60;6;20;0.0
1;551.0;60;6;20;0.0
1;552.0;60;6;20;0.0
1;553.0;60;6;20;0.0
1;554.0;60;6;20;0.0
1;555.0;60;6;20;0.0
1;556.0;60;6;20;0.0
1;557.0;60;6;20;0.0
1;558.0;60;6;20;0.0
1;559.0;60;6;20;0.0
1;560.0;60;6;20;0.0
1;561.0;60;6;20;0.0
1;562.0;60;6;20;0.0
1;563.0;60;6;20;0.0
1;564.0;60;6;20;0.0
1;565.0;60;6;20;0.0
1;566.0;60;6;20;0.0
1;567.0;60;5;20;0.0
1;568.0;60;5;19;0.0
1;569.0;60;5;19;0.0
1;570.0;60;5;19;0.0
1;571.0;60;5;19;0.0
1;572.0;60;5;19;0.0
1;573.0;60;5;19;0.0
1;574.0;60;6;19;0.1
1;575.0;60;6;20;0.1
1;576.0;60;6;20;0.1
1;577.0;60;6;20;0.1
1;578.0;60;6;20;0.1
1;579.0;60;6;20;0.1
1;580.0;60;6;20;0.1
1;581.0;60;6;20;0.1
1;582.0;60;6;20;0.1
1;583.0;60;6;20;0.1
1;584.0;60;6;20;0.0
1;585.0;60;6;20;0.0
1;586.0;60;6;20;0.0
1;587.0;60;6;20;0.0
1;588.0;60;6;20;0.0
1;589.0;60;6;20;0.0
1;590.0;60;6;20;0.0
1;591.0;60;6;20;0.0
1;592.0;60;6;20;0.0
1;593.0;60;6;20;0.0
1;594.0;60;6;20;0.0
1;595.0;60;6;20;0.0
1;596.0;60;6;20;0.0
1;597.0;60;6;20;0.0
1;598.0;60;6;20;0.0
1;599.0;60;6;20;0.0
1;600.0;60;6;20;0.0
1;601.0;60;6;20;0.0
1;602.0;60;6;20;0.0
1;603.0;60;6;20;0.0
1;604.0;60;6;20;0.0
1;605.0;60;6;20;0.0
1;606.0;60;6;20;0.0
1;607.0;60;6;20;0.0
1;608.0;60;6;20;0.0
1;609.0;60;6;20;0.0
1;610.0;60;6;20;0.0
1;611.0;60;6;20;0.0
1;612.0;60;6;20;0.0
1;613.0;60;6;20;0.0
1;614.0;60;6;20;0.0
1;615.0;60;6;20;0.0
1;616.0;60;6;20;0.0
1;617.0;60;6;20;0.0
1;618.0;60;6;20;0.0
1;619.0;60;6;20;0.0
1;620.0;60;6;20;0.0
1;621.0;60;6;20;0.0
1;622.0;60;6;20;0.0
1;623.0;60;6;20;0.0
1;624.0;60;6;20;0.0
1;625.0;60;6;20;0.0
1;626.0;60;6;20;0.0
1;627.0;60;6;20;0.0
1;628.0;60;6;20;0.0
1;629.0;60;6;20;0.0
1;630.0;60;6;20;0.0
1;631.0;60;6;20;0.0
1;632.0;60;6;20;0.0
1;633.0;60;6;20;0.0
1;634.0;60;5;20;0.0
1;635.0;60;5;19;0.0
1;636.0;60;5;19;0.0
1;637.0;60;5;19;0.0
1;638.0;60;5;19;0.0
1;639.0;60;5;19;0.0
1;640.0;60;6;19;0.1
1;641.0;60;6;20;0.1
1;642.0;60;6;20;0.1
1;643.0;60;6;20;0.1
1;644.0;60;6;20;0.1
1;645.0;60;6;20;0.1
1;646.0;60;6;20;0.1
1;647.0;60;6;20;0.1
1;648.0;60;6;20;0.1
1;649.0;60;6;20;0.1
1;650.0;60;6;20;0.0
1;651.0;60;6;20;0.0
1;652.0;60;6;20;0.0
1;653.0;60;6;20;0.0
1;654.0;60;6;20;0.0
1;655.0;60;6;20;0.0
1;656.0;60;6;20;0.0
1;657.0;60;6;20;0.0
1;658.0;60;6;20;0.0
1;659.0;60;6;20;0.0
1;660.0;60;6;20;0.0
1;661.0;60;6;20;0.0
1;662.0;60;6;20;0.0
1;663.0;60;6;20;0.0
1;664.0;60;6;20;0.0
1;665.0;60;6;20;0.0
1;666.0;60;6;20;0.0
1;667.0;60;6;20;0.0
1;668.0;60;6;20;0.0
1;669.0;60;6;20;0.0
1;670.0;60;6;20;0.0
1;671.0;60;6;20;0.0
1;672.0;60;6;20;0.0
1;673.0;60;6;20;0.0
1;674.0;60;6;20;0.0
1;675.0;60;6;20;0.0
1;676.0;60;6;20;0.0
1;677.0;60;6;20;0.0
1;678.0;60;6;20;0.0
1;679.0;60;6;20;0.0
1;680.0;60;6;20;0.0
1;681.0;60;6;20;0.0
1;682.0;60;6;20;0.0
1;683.0;60;6;20;0.0
1;684.0;60;6;20;0.0
1;685.0;60;6;20;0.0
1;686.0;60;6;20;0.0
1;687.0;60;6;20;0.0
1;688.0;60;6;20;0.0
1;689.0;60;6;20;0.0
1;690.0;60;6;20;0.0
1;691.0;60;6;20;0.0
1;692.0;60;6;20;0.0
1;693.0;60;6;20;0.0
1;694.0;60;6;20;0.0
1;695.0;60;6;20;0.0
1;696.0;60;6;20;0.0
1;697.0;60;6;20;0.0
1;698.0;60;6;20;0.0
1;699.0;60;6;20;0.0
1;700.0;60;6;20;0.0
1;701.0;60;6;20;0.0
1;702.0;60;6;20;0.0
1;703.0;60;6;20;0.0
1;704.0;60;6;20;0.0
1;705.0;60;6;20;0.0
1;706.0;60;6;20;0.0
1;707.0;60;6;20;0.0
1;708.0;60;6;20;0.0
1;709.0;60;6;20;0.0
1;710.0;60;6;20;0.0
1;711.0;60;6;20;0.0
1;712.0;60;6;20;0.0
1;713.0;60;6;20;0.0
1;714.0;60;6;20;0.0
1;715.0;60;6;20;0.0
1;716.0;60;6;20;0.0
1;717.0;60;6;20;0.0
1;718.0;60;6;20;0.0
1;719.0;60;6;20;0.0
1;720.0;60;6;20;0.0
1;721.0;60;6;20;0.0
1;722.0;60;6;20;0.0
1;723.0;60;6;20;0.0
1;724.0;60;6;20;0.0
1;725.0;60;6;20;0.0
1;726.0;60;6;20;0.0
1;727.0;60;5;20;0.0
1;728.0;60;5;19;0.0
1;729.0;60;5;19;0.0
1;730.0;60;5;19;0.2
1;731.0;60;5;19;0.2
1;732.0;60;5;19;0.2
1;733.0;60;5;19;0.2
1;734.0;60;5;19;0.2
1;735.0;60;5;19;0.4
1;736.0;60;5;19;0.5
1;737.0;60;5;19;0.6
1;738.0;60;5;19;0.8
1;739.0;60;5;19;0.8
1;740.0;60;5;19;0.7
1;741.0;60;6;19;1.0
1;742.0;60;6;20;1.0
1;743.0;60;6;20;1.0
1;744.0;60;6;20;1.0
1;745.0;60;6;20;0.8
1;746.0;60;6;20;0.7
1;747.0;60;6;20;0.6
1;748.0;60;6;20;0.4
1;749.0;60;6;20;0.4
1;750.0;60;6;20;0.3
1;751.0;60;6;20;0.0
1;752.0;60;6;20;0.0
1;753.0;60;6;20;0.0
1;754.0;60;6;20;0.0
1;755.0;60;6;20;0.0
1;756.0;60;6;20;0.0
1;757.0;60;6;20;0.0
1;758.0;60;6;20;0.0
1;759.0;60;6;20;0.0
1;760.0;60;6;20;0.0
1;761.0;60;6;20;0.0
1;762.0;60;6;20;0.0
1;763.0;60;6;20;0.0
1;764.0;60;6;20;0.0
1;765.0;60;6;20;0.0
1;766.0;60;6;20;0.0
1;767.0;60;6;20;0.0
1;768.0;60;6;20;0.0
1;769.0;60;6;20;0.0
1;770.0;60;6;20;0.0
1;771.0;60;6;20;0.0
1;772.0;60;6;20;0.0
1;773.0;60;6;20;0.0
1;774.0;60;6;20;0.0
1;775.0;60;6;20;0.0
1;776.0;60;6;20;0.0
1;777.0;60;6;20;0.0
1;778.0;60;6;20;0.0
1;779.0;60;6;20;0.0
1;780.0;60;6;20;0.0
1;781.0;60;6;20;0.0
1;782.0;60;6;20;0.0
1;783.0;60;6;20;0.0
1;784.0;60;6;20;0.0
1;785.0;60;6;20;0.0
1;786.0;60;6;20;0.0
1;787.0;60;6;20;0.0
1;788.0;60;6;20;0.0
1;789.0;60;6;20;0.0
1;790.0;60;6;20;0.0
1;791.0;60;6;20;0.0
1;792.0;60;6;20;0.0
1;793.0;60;6;20;0.0
1;794.0;60;6;20;0.0
1;795.0;60;6;20;0.0
1;796.0;60;6;20;0.0
1;797.0;60;6;20;0.0
1;798.0;60;6;20;0.0
1;799.0;60;6;20;0.0
1;800.0;60;6;20;0.0
1;801.0;60;6;20;0.0
1;802.0;60;5;20;0.0
1;803.0;60;5;19;0.0
1;804.0;60;5;19;0.0
1;805.0;60;6;19;0.1
1;806.0;60;6;20;0.1
1;807.0;60;6;20;0.1
1;808.0;60;6;20;0.1
1;809.0;60;6;20;0.1
1;810.0;60;6;20;0.1
1;811.0;60;6;20;0.1
1;812.0;60;6;20;0.1
1;813.0;60;6;20;0.1
1;814.0;60;6;20;0.1
1;815.0;60;6;20;0.0
1;816.0;60;6;20;0.0
1;817.0;60;6;20;0.0
1;818.0;60;6;20;0.0
1;819.0;60;6;20;0.0
1;820.0;60;7;20;0.0
1;821.0;60;7;19;0.0
1;822.0;60;7;19;0.0
1;823.0;60;7;19;0.0
1;824.0;60;7;19;0.0
1;825.0;60;7;19;0.0
1;826.0;60;7;19;0.0
1;827.0;60;7;19;0.0
1;828.0;60;7;19;0.0
1;829.0;60;7;19;0.0
1;830.0;60;7;19;0.0
1;831.0;60;7;19;0.0
1;832.0;60;7;19;0.0
1;833.0;60;7;19;0.0
1;834.0;60;7;19;0.0
1;835.0;60;7;19;0.0
1;836.0;60;7;19;0.0
1;837.0;60;7;19;0.0
1;838.0;60;7;19;0.0
1;839.0;60;7;19;0.0
1;840.0;60;7;19;0.0
1;841.0;60;7;19;0.0
1;842.0;60;7;19;0.0
1;843.0;60;7;19;0.0
1;844.0;60;7;19;0.0
1;845.0;60;7;19;0.0
1;846.0;60;7;19;0.0
1;847.0;60;7;19;0.0
1;848.0;60;7;19;0.0
1;849.0;60;7;19;0.0
1;850.0;60;7;19;0.0
1;851.0;60;7;19;0.0
1;852.0;60;7;19;0.0
1;853.0;60;7;19;0.0
1;854.0;60;7;19;0.0
1;855.0;60;7;19;0.0
1;856.0;60;7;19;0.0
1;857.0;60;7;19;0.0
1;858.0;60;7;19;0.0
1;859.0;60;7;19;0.0
1;860.0;60;7;19;0.0
1;861.0;60;7;19;0.0
1;862.0;60;7;19;0.0
1;863.0;60;8;19;0.0
